id,idpel,nama,koordinat_x,koordinat_y,nama_kabupaten,nama_kecamatan,nama_kelurahan
695767,533212496957,"PJU **** ***********",-6.97012560000000,108.42032150000000,"KAB. KUNINGAN",DARMA,SAGARAHIANG
695768,533212496973,"PJU **** ******",-7.01209180000000,108.41806570000000,"KAB. KUNINGAN",DARMA,JAGARA
695769,533212496965,"PJU ** *********** *",-6.96771500000000,108.42074290000000,"KAB. KUNINGAN",DARMA,SAGARAHIANG
695770,533213005462,"PJU ******** ********",-7.01929200000000,108.64886700000000,"KAB. KUNINGAN",LURAGUNG,LURAGUNGLANDEUH
695771,533212939179,"PJU ****** ** *******",-6.97529479000000,108.58940259000000,"KAB. KUNINGAN",CIAWIGEBANG,GERESIK
695772,533212964707,"PJU ****** *********** *",-6.97799000000000,108.61106820000000,"KAB. KUNINGAN",KALIMANGGIS,KALIMANGGISWETAN
695773,533212923192,"PJU *** **** ******",-6.99676540000000,108.45750800000000,"KAB. KUNINGAN",KADUGEDE,CIPONDOK
695774,533212924273,"PJU *** **** *******",-6.98240000000000,108.65630000000000,"KAB. KUNINGAN",CIDAHU,KERTAWINANGUN
695775,533212937238,"PJU ****** ******* *",-6.96920000000000,108.66110000000000,"KAB. KUNINGAN",CIDAHU,CIEURIH
695776,533212942131,"PJU ******* ***** *** *",-6.98144360000000,108.47787810000000,"KAB. KUNINGAN",KUNINGAN,KUNINGAN
695778,533212120877,"PJU *****",-6.99410610000000,108.35753960000000,"KAB. MAJALENGKA",CIKIJING,SUNALARI
695779,533212120885,"PJU *****",-6.98336666700000,108.38225000000000,"KAB. MAJALENGKA",CIKIJING,CIPULUS
695780,533212120893,"PJU *****",-6.97658333333330,108.37333333333000,"KAB. MAJALENGKA",CIKIJING,KANCANA
